y,left_x,right_x,width
649,559,2511,1953
650,559,2511,1953
651,559,2511,1953
652,559,2511,1953
653,559,2511,1953
654,559,2511,1953
655,559,2511,1953
656,559,2511,1953
657,559,2511,1953
658,559,2511,1953
659,559,2511,1953
660,559,2511,1953
661,559,2511,1953
662,559,2511,1953
663,559,2511,1953
664,559,2511,1953
665,559,2511,1953
666,559,2511,1953
667,559,2511,1953
668,559,2511,1953
669,559,2511,1953
670,559,2511,1953
671,559,2511,1953
672,559,2511,1953
673,559,2511,1953
674,559,2511,1953
675,559,2511,1953
676,559,2511,1953
677,559,2511,1953
678,559,2511,1953
679,559,2511,1953
680,559,2511,1953
681,559,2511,1953
682,559,2511,1953
683,559,2511,1953
684,559,2511,1953
685,559,2511,1953
686,559,2511,1953
687,559,2511,1953
688,559,2511,1953
689,559,2511,1953
690,559,2511,1953
691,559,2511,1953
692,559,2511,1953
693,559,2511,1953
694,559,2511,1953
695,559,2511,1953
696,559,2511,1953
697,559,2511,1953
698,559,2511,1953
699,559,2511,1953
700,559,2511,1953
701,559,2511,1953
702,559,2511,1953
703,559,2511,1953
704,559,2511,1953
705,559,2511,1953
706,559,2511,1953
707,559,2511,1953
708,559,2511,1953
709,559,2511,1953
710,559,2511,1953
711,559,2511,1953
712,559,2511,1953
713,559,2511,1953
714,559,2511,1953
715,559,2511,1953
716,559,2511,1953
717,559,2511,1953
718,559,2511,1953
719,559,2511,1953
720,559,2511,1953
721,559,2511,1953
722,559,2511,1953
723,559,2511,1953
724,559,2511,1953
725,559,2511,1953
726,559,2511,1953
727,559,2511,1953
728,559,2511,1953
729,559,2511,1953
730,559,2511,1953
731,559,2511,1953
732,559,2511,1953
733,559,2511,1953
734,559,2511,1953
735,559,2511,1953
736,559,2511,1953
737,559,2511,1953
738,559,2511,1953
739,559,2511,1953
740,559,2511,1953
741,559,2511,1953
742,559,2511,1953
743,559,2511,1953
744,559,2511,1953
745,559,2511,1953
746,559,2511,1953
747,559,2511,1953
748,559,2511,1953
749,559,2511,1953
750,559,2511,1953
751,559,2511,1953
752,559,2511,1953
753,559,2511,1953
754,559,2511,1953
755,559,2511,1953
756,559,2511,1953
757,559,2511,1953
758,559,2511,1953
759,559,2511,1953
760,559,2511,1953
761,559,2511,1953
762,559,2511,1953
763,559,2511,1953
764,559,2511,1953
765,559,2511,1953
766,559,2511,1953
767,559,2511,1953
768,559,2511,1953
769,559,2511,1953
770,559,2511,1953
771,559,2511,1953
772,559,2511,1953
773,559,2511,1953
774,559,2511,1953
775,559,2511,1953
776,559,2511,1953
777,559,2511,1953
778,559,2511,1953
779,559,2511,1953
780,559,2511,1953
781,559,2511,1953
782,559,2511,1953
783,559,2511,1953
