x,top_y,bottom_y,height
559,649,1303,655
560,649,1303,655
561,649,1303,655
562,649,1303,655
563,649,1303,655
564,649,1303,655
565,649,1303,655
566,649,1303,655
567,649,1303,655
568,649,1303,655
569,649,1303,655
570,649,1303,655
571,649,1303,655
572,649,1303,655
573,649,1303,655
574,649,1303,655
575,649,1303,655
576,649,1303,655
577,649,1303,655
578,649,1303,655
579,649,1303,655
580,649,1303,655
581,649,1303,655
582,649,1303,655
583,649,1303,655
584,649,1303,655
585,649,1303,655
586,649,1303,655
587,649,1303,655
588,649,1303,655
589,649,1303,655
590,649,1303,655
591,649,1303,655
592,649,1303,655
593,649,1303,655
594,649,1303,655
595,649,1303,655
596,649,1303,655
597,649,1303,655
598,649,1303,655
599,649,1303,655
600,649,1303,655
601,649,1303,655
602,649,1303,655
603,649,1303,655
604,649,1303,655
605,649,1303,655
606,649,1303,655
607,649,1303,655
608,649,1303,655
609,649,1303,655
610,649,1303,655
611,649,1303,655
612,649,1303,655
613,649,1303,655
614,649,1303,655
615,649,1303,655
616,649,1303,655
617,649,1303,655
618,649,1303,655
619,649,1303,655
620,649,1303,655
621,649,1303,655
622,649,1303,655
623,649,1303,655
624,649,1303,655
625,649,1303,655
626,649,1303,655
627,649,1303,655
628,649,1303,655
629,649,1303,655
630,649,1303,655
631,649,1303,655
632,649,1303,655
633,649,1303,655
634,649,1303,655
635,649,1303,655
636,649,1303,655
637,649,1303,655
638,649,1303,655
639,649,1303,655
640,649,1303,655
641,649,1303,655
642,649,1303,655
643,649,1303,655
644,649,1303,655
645,649,1303,655
646,649,1303,655
647,649,1303,655
648,649,1303,655
649,649,1303,655
650,649,1303,655
651,649,1303,655
652,649,1303,655
653,649,1303,655
654,649,1303,655
655,649,1303,655
656,649,1303,655
657,649,1303,655
658,649,1303,655
659,649,1303,655
660,649,1303,655
661,649,1303,655
662,649,1303,655
663,649,1303,655
664,649,1303,655
665,649,1303,655
666,649,1303,655
667,649,1303,655
668,649,1303,655
669,649,1303,655
670,649,1303,655
671,649,1303,655
672,649,1303,655
673,649,1303,655
674,649,1303,655
675,649,1303,655
676,649,1303,655
677,649,1303,655
678,649,1303,655
679,649,1303,655
680,649,1303,655
681,649,1303,655
682,649,1303,655
683,649,1303,655
684,649,1303,655
685,649,1303,655
686,649,1303,655
687,649,1303,655
688,649,1303,655
689,649,1303,655
690,649,1303,655
691,649,1303,655
692,649,1303,655
693,649,1303,655
694,649,1303,655
695,649,1303,655
696,649,1303,655
697,649,1303,655
698,649,1303,655
699,649,1303,655
700,649,1303,655
701,649,1303,655
702,649,1303,655
703,649,1303,655
704,649,1303,655
705,649,1303,655
706,649,1303,655
707,649,1303,655
708,649,1303,655
709,649,1303,655
710,649,1303,655
711,649,1303,655
712,649,1303,655
713,649,1303,655
714,649,1303,655
715,649,1303,655
716,649,1303,655
717,649,1303,655
718,649,1303,655
719,649,1303,655
720,649,1303,655
721,649,1303,655
722,649,1303,655
723,649,1303,655
724,649,1303,655
725,649,1303,655
726,649,1303,655
727,649,1303,655
728,649,1303,655
729,649,1303,655
730,649,1303,655
731,649,1303,655
732,649,1303,655
733,649,1303,655
734,649,1303,655
735,649,1303,655
736,649,1303,655
737,649,1303,655
738,649,1303,655
739,649,1303,655
740,649,1303,655
741,649,1303,655
742,649,1303,655
743,649,1303,655
744,649,1303,655
745,649,1303,655
746,649,1303,655
747,649,1303,655
748,649,1303,655
749,649,1303,655
750,649,1303,655
751,649,1303,655
752,649,1303,655
753,649,1303,655
754,649,1303,655
755,649,1303,655
756,649,1303,655
757,649,1303,655
758,649,1303,655
759,649,1303,655
760,649,1303,655
761,649,1303,655
762,649,1303,655
763,649,1303,655
764,649,1303,655
765,649,1303,655
766,649,1303,655
767,649,1303,655
768,649,1303,655
769,649,1303,655
770,649,1303,655
771,649,1303,655
772,649,1303,655
773,649,1303,655
774,649,1303,655
775,649,1303,655
776,649,1303,655
777,649,1303,655
778,649,1303,655
779,649,1303,655
780,649,1303,655
781,649,1303,655
782,649,1303,655
783,649,1303,655
784,649,1303,655
785,649,1303,655
786,649,1303,655
787,649,1303,655
788,649,1303,655
789,649,1303,655
790,649,1303,655
791,649,1303,655
792,649,1303,655
793,649,1303,655
794,649,1303,655
795,649,1303,655
796,649,1303,655
797,649,1303,655
798,649,1303,655
799,649,1303,655
800,649,1303,655
801,649,1303,655
802,649,1303,655
803,649,1303,655
804,649,1303,655
805,649,1303,655
806,649,1303,655
807,649,1303,655
808,649,1303,655
809,649,1303,655
810,649,1303,655
811,649,1303,655
812,649,1303,655
813,649,1303,655
814,649,1303,655
815,649,1303,655
816,649,1303,655
817,649,1303,655
818,649,1303,655
819,649,1303,655
820,649,1303,655
821,649,1303,655
822,649,1303,655
823,649,1303,655
824,649,1303,655
825,649,1303,655
826,649,1303,655
827,649,1303,655
828,649,1303,655
829,649,1303,655
830,649,1303,655
831,649,1303,655
832,649,1303,655
833,649,1303,655
834,649,1303,655
835,649,1303,655
836,649,1303,655
837,649,1303,655
838,649,1303,655
839,649,1303,655
840,649,1303,655
841,649,1303,655
842,649,1303,655
843,649,1303,655
844,649,1303,655
845,649,1303,655
846,649,1303,655
847,649,1303,655
848,649,1303,655
849,649,1303,655
850,649,1303,655
851,649,1303,655
852,649,1303,655
853,649,1303,655
854,649,1303,655
855,649,1303,655
856,649,1303,655
857,649,1303,655
858,649,1303,655
859,649,1303,655
860,649,1303,655
861,649,1303,655
862,649,1303,655
863,649,1303,655
864,649,1303,655
865,649,1303,655
866,649,1303,655
867,649,1303,655
868,649,1303,655
869,649,1303,655
870,649,1303,655
871,649,1303,655
872,649,1303,655
873,649,1303,655
874,649,1303,655
875,649,1303,655
876,649,1303,655
877,649,1303,655
878,649,1303,655
879,649,1303,655
880,649,1303,655
881,649,1303,655
882,649,1303,655
883,649,1303,655
884,649,1303,655
885,649,1303,655
886,649,1303,655
887,649,1303,655
888,649,1303,655
889,649,1303,655
890,649,1303,655
891,649,1303,655
892,649,1303,655
893,649,1303,655
894,649,1303,655
895,649,1303,655
896,649,1303,655
897,649,1303,655
898,649,1303,655
899,649,1303,655
900,649,1303,655
901,649,1303,655
902,649,1303,655
903,649,1303,655
904,649,1303,655
905,649,1303,655
906,649,1303,655
907,649,1303,655
908,649,1303,655
909,649,1303,655
910,649,1303,655
911,649,1303,655
912,649,1303,655
913,649,1303,655
914,649,1303,655
915,649,1303,655
916,649,1303,655
917,649,1303,655
918,649,1303,655
919,649,1303,655
920,649,1303,655
921,649,1303,655
922,649,1303,655
923,649,1303,655
924,649,1303,655
925,649,1303,655
926,649,1303,655
927,649,1303,655
928,649,1303,655
929,649,1303,655
930,649,1303,655
931,649,1303,655
932,649,1303,655
933,649,1303,655
934,649,1303,655
935,649,1303,655
936,649,1303,655
937,649,1303,655
938,649,1303,655
939,649,1303,655
940,649,1303,655
941,649,1303,655
942,649,1303,655
943,649,1303,655
944,649,1303,655
945,649,1303,655
946,649,1303,655
947,649,1303,655
948,649,1303,655
949,649,1303,655
950,649,1303,655
951,649,1303,655
952,649,1303,655
953,649,1303,655
954,649,1303,655
955,649,1303,655
956,649,1303,655
957,649,1303,655
958,649,1303,655
959,649,1303,655
960,649,1303,655
961,649,1303,655
962,649,1303,655
963,649,1303,655
964,649,1303,655
965,649,1303,655
966,649,1303,655
967,649,1303,655
968,649,1303,655
969,649,1303,655
970,649,1303,655
971,649,1303,655
972,649,1303,655
973,649,1303,655
974,649,1303,655
975,649,1303,655
976,649,1303,655
977,649,1303,655
978,649,1303,655
979,649,1303,655
980,649,1303,655
981,649,1303,655
982,649,1303,655
983,649,1303,655
984,649,1303,655
985,649,1303,655
986,649,1303,655
987,649,1303,655
988,649,1303,655
989,649,1303,655
990,649,1303,655
991,649,1303,655
992,649,1303,655
993,649,1303,655
994,649,1303,655
995,649,1303,655
996,649,1303,655
997,649,1303,655
998,649,1303,655
999,649,1303,655
1000,649,1303,655
1001,649,1303,655
1002,649,1303,655
1003,649,1303,655
1004,649,1303,655
1005,649,1303,655
1006,649,1303,655
1007,649,1303,655
1008,649,1303,655
1009,649,1303,655
1010,649,1303,655
1011,649,1303,655
1012,649,1303,655
1013,649,1303,655
1014,649,1303,655
1015,649,1303,655
1016,649,1303,655
1017,649,1303,655
1018,649,1303,655
1019,649,1303,655
1020,649,1303,655
1021,649,1303,655
1022,649,1303,655
1023,649,1303,655
1024,649,1303,655
1025,649,1303,655
1026,649,1303,655
1027,649,1303,655
1028,649,1303,655
1029,649,1303,655
1030,649,1303,655
1031,649,1303,655
1032,649,1303,655
1033,649,1303,655
1034,649,1303,655
1035,649,1303,655
1036,649,1303,655
1037,649,1303,655
1038,649,1303,655
1039,649,1303,655
