x,top_y,bottom_y,height
883,952,1000,49
884,933,1019,87
885,920,1032,113
886,909,1043,135
887,900,1052,153
888,892,1060,169
889,884,1068,185
890,877,1075,199
891,871,1081,211
892,865,1087,223
893,859,1093,235
894,854,1098,245
895,849,1103,255
896,844,1108,265
897,839,1113,275
898,835,1117,283
899,830,1122,293
900,826,1126,301
901,822,1130,309
902,818,1134,317
903,814,1138,325
904,810,1142,333
905,806,1146,341
906,803,1149,347
907,799,1153,355
908,795,1157,363
909,792,1160,369
910,789,1163,375
911,785,1167,383
912,782,1170,389
913,779,1173,395
914,776,1176,401
915,773,1179,407
916,770,1182,413
917,767,1185,419
918,764,1188,425
919,761,1191,431
920,758,1194,437
921,755,1197,443
922,752,1200,449
923,750,1202,453
924,747,1205,459
925,745,1207,463
926,742,1210,469
927,740,1212,473
928,737,1215,479
929,735,1217,483
930,732,1220,489
931,730,1222,493
932,727,1225,499
933,724,1228,505
934,722,1230,509
935,720,1232,513
936,718,1234,517
937,715,1237,523
938,713,1239,527
939,711,1241,531
940,709,1243,535
941,707,1245,539
942,704,1248,545
943,702,1250,549
944,700,1252,553
945,698,1254,557
946,695,1257,563
947,693,1259,567
948,691,1261,571
949,689,1263,575
950,687,1265,579
951,686,1266,581
952,684,1268,585
953,682,1270,589
954,680,1272,593
955,678,1274,597
956,676,1276,601
957,674,1278,605
958,672,1280,609
959,670,1282,613
960,668,1284,617
961,666,1286,621
962,664,1288,625
963,662,1290,629
964,661,1291,631
965,659,1293,635
966,657,1295,639
967,655,1297,643
968,654,1298,645
969,652,1300,649
970,650,1302,653
971,649,1303,655
972,647,1305,659
973,645,1307,663
974,643,1309,667
975,642,1310,669
976,640,1312,673
977,638,1314,677
978,637,1315,679
979,635,1317,683
980,633,1319,687
981,632,1320,689
982,630,1322,693
983,629,1323,695
984,627,1325,699
985,626,1326,701
986,624,1328,705
987,623,1329,707
988,621,1331,711
989,619,1333,715
990,618,1334,717
991,616,1336,721
992,615,1337,723
993,613,1339,727
994,612,1340,729
995,610,1342,733
996,609,1343,735
997,607,1345,739
998,606,1346,741
999,605,1347,743
1000,603,1349,747
1001,602,1350,749
1002,600,1352,753
1003,599,1353,755
1004,598,1354,757
1005,596,1356,761
1006,595,1357,763
1007,593,1359,767
1008,592,1360,769
1009,590,1362,773
1010,589,1363,775
1011,588,1364,777
1012,586,1366,781
1013,585,1367,783
1014,584,1368,785
1015,582,1370,789
1016,581,1371,791
1017,580,1372,793
1018,579,1373,795
1019,577,1375,799
1020,576,1376,801
1021,575,1377,803
1022,574,1378,805
1023,572,1380,809
1024,571,1381,811
1025,570,1382,813
1026,568,1384,817
1027,567,1385,819
1028,566,1386,821
1029,565,1387,823
1030,563,1389,827
1031,562,1390,829
1032,561,1391,831
1033,560,1392,833
1034,559,1393,835
1035,557,1395,839
1036,556,1396,841
1037,555,1397,843
1038,554,1398,845
1039,553,1399,847
1040,552,1400,849
1041,550,1402,853
1042,549,1403,855
1043,548,1404,857
1044,547,1405,859
1045,546,1406,861
1046,545,1407,863
1047,544,1408,865
1048,542,1410,869
1049,541,1411,871
1050,540,1412,873
1051,539,1413,875
1052,538,1414,877
1053,537,1415,879
1054,536,1416,881
1055,535,1417,883
1056,534,1418,885
1057,533,1419,887
1058,531,1421,891
1059,530,1422,893
1060,529,1423,895
1061,528,1424,897
1062,527,1425,899
1063,526,1426,901
1064,525,1427,903
1065,524,1428,905
1066,523,1429,907
1067,522,1430,909
1068,521,1431,911
1069,520,1432,913
1070,519,1433,915
1071,518,1434,917
1072,517,1435,919
1073,516,1436,921
1074,515,1437,923
1075,514,1438,925
1076,513,1439,927
1077,512,1440,929
1078,511,1441,931
1079,510,1442,933
1080,509,1443,935
1081,508,1444,937
1082,507,1445,939
1083,506,1446,941
1084,505,1447,943
1085,504,1448,945
1086,503,1449,947
1087,502,1450,949
1088,501,1451,951
1089,500,1452,953
1090,499,1453,955
1091,499,1453,955
1092,498,1454,957
1093,497,1455,959
1094,496,1456,961
1095,495,1457,963
1096,494,1458,965
1097,493,1459,967
1098,492,1460,969
1099,491,1461,971
1100,490,1462,973
1101,489,1463,975
1102,489,1463,975
1103,488,1464,977
1104,487,1465,979
1105,486,1466,981
1106,485,1467,983
1107,484,1468,985
1108,483,1469,987
1109,482,1470,989
1110,482,1470,989
1111,481,1471,991
1112,480,1472,993
1113,479,1473,995
1114,478,1474,997
1115,477,1475,999
1116,476,1476,1001
1117,476,1476,1001
1118,475,1477,1003
1119,474,1478,1005
1120,473,1479,1007
1121,472,1480,1009
1122,471,1481,1011
1123,471,1481,1011
1124,470,1482,1013
1125,469,1483,1015
1126,468,1484,1017
1127,467,1485,1019
1128,467,1485,1019
1129,466,1486,1021
1130,465,1487,1023
1131,464,1488,1025
1132,464,1488,1025
1133,463,1489,1027
1134,462,1490,1029
1135,461,1491,1031
1136,460,1492,1033
1137,460,1492,1033
1138,459,1493,1035
1139,458,1494,1037
1140,457,1495,1039
1141,456,1496,1041
1142,456,1496,1041
1143,455,1497,1043
1144,454,1498,1045
1145,453,1499,1047
1146,453,1499,1047
1147,452,1500,1049
1148,451,1501,1051
1149,450,1502,1053
1150,450,1502,1053
1151,449,1503,1055
1152,448,1504,1057
1153,448,1504,1057
1154,447,1505,1059
1155,446,1506,1061
1156,446,1506,1061
1157,445,1507,1063
1158,444,1508,1065
1159,443,1509,1067
1160,443,1509,1067
1161,442,1510,1069
1162,441,1511,1071
1163,441,1511,1071
1164,440,1512,1073
1165,439,1513,1075
1166,438,1514,1077
1167,438,1514,1077
1168,437,1515,1079
1169,436,1516,1081
1170,436,1516,1081
1171,435,1517,1083
1172,434,1518,1085
1173,434,1518,1085
1174,433,1519,1087
1175,432,1520,1089
1176,432,1520,1089
1177,431,1521,1091
1178,430,1522,1093
1179,430,1522,1093
1180,429,1523,1095
1181,429,1523,1095
1182,428,1524,1097
1183,427,1525,1099
1184,427,1525,1099
1185,426,1526,1101
1186,425,1527,1103
1187,425,1527,1103
1188,424,1528,1105
1189,423,1529,1107
1190,423,1529,1107
1191,422,1530,1109
1192,421,1531,1111
1193,421,1531,1111
1194,420,1532,1113
1195,420,1532,1113
1196,419,1533,1115
1197,418,1534,1117
1198,418,1534,1117
1199,417,1535,1119
1200,417,1535,1119
1201,416,1536,1121
1202,415,1537,1123
1203,415,1537,1123
1204,414,1538,1125
1205,414,1538,1125
1206,413,1539,1127
1207,413,1539,1127
1208,412,1540,1129
1209,411,1541,1131
1210,411,1541,1131
1211,410,1542,1133
1212,410,1542,1133
1213,409,1543,1135
1214,408,1544,1137
1215,408,1544,1137
1216,407,1545,1139
1217,407,1545,1139
1218,406,1546,1141
