y,left_x,right_x,width
695,946,2124,1179
696,946,2124,1179
697,946,2124,1179
698,945,2125,1181
699,945,2125,1181
700,944,2126,1183
701,944,2126,1183
702,943,2127,1185
703,943,2127,1185
704,942,2128,1187
705,942,2128,1187
706,942,2128,1187
707,941,2129,1189
708,941,2129,1189
709,940,2130,1191
710,940,2130,1191
711,939,2131,1193
712,939,2131,1193
713,938,2132,1195
714,938,2132,1195
715,937,2133,1197
716,937,2133,1197
717,937,2133,1197
718,936,2134,1199
719,936,2134,1199
720,935,2135,1201
721,935,2135,1201
722,934,2136,1203
723,934,2136,1203
724,933,2137,1205
725,933,2137,1205
726,933,2137,1205
727,932,2138,1207
728,932,2138,1207
729,932,2138,1207
730,931,2139,1209
731,931,2139,1209
732,930,2140,1211
733,930,2140,1211
734,930,2140,1211
735,929,2141,1213
736,929,2141,1213
737,928,2142,1215
738,928,2142,1215
739,928,2142,1215
740,927,2143,1217
741,927,2143,1217
742,926,2144,1219
743,926,2144,1219
744,926,2144,1219
745,925,2145,1221
746,925,2145,1221
747,924,2146,1223
748,924,2146,1223
749,924,2146,1223
750,923,2147,1225
751,923,2147,1225
752,922,2148,1227
753,922,2148,1227
754,922,2148,1227
755,921,2149,1229
756,921,2149,1229
757,921,2149,1229
758,920,2150,1231
759,920,2150,1231
760,920,2150,1231
761,919,2151,1233
762,919,2151,1233
763,919,2151,1233
764,918,2152,1235
765,918,2152,1235
766,918,2152,1235
767,917,2153,1237
768,917,2153,1237
769,917,2153,1237
770,916,2154,1239
771,916,2154,1239
772,916,2154,1239
773,915,2155,1241
774,915,2155,1241
775,915,2155,1241
776,914,2156,1243
777,914,2156,1243
778,914,2156,1243
779,913,2157,1245
780,913,2157,1245
781,913,2157,1245
782,912,2158,1247
783,912,2158,1247
784,912,2158,1247
785,911,2159,1249
786,911,2159,1249
787,911,2159,1249
788,911,2159,1249
789,910,2160,1251
790,910,2160,1251
791,910,2160,1251
792,909,2161,1253
793,909,2161,1253
794,909,2161,1253
795,908,2162,1255
796,908,2162,1255
797,908,2162,1255
798,908,2162,1255
799,907,2163,1257
800,907,2163,1257
801,907,2163,1257
802,907,2163,1257
803,906,2164,1259
804,906,2164,1259
805,906,2164,1259
806,905,2165,1261
807,905,2165,1261
808,905,2165,1261
809,905,2165,1261
810,904,2166,1263
811,904,2166,1263
812,904,2166,1263
813,904,2166,1263
814,903,2167,1265
815,903,2167,1265
816,903,2167,1265
817,903,2167,1265
818,902,2168,1267
819,902,2168,1267
820,902,2168,1267
821,902,2168,1267
822,901,2169,1269
823,901,2169,1269
824,901,2169,1269
825,901,2169,1269
826,900,2170,1271
827,900,2170,1271
828,900,2170,1271
829,900,2170,1271
830,899,2171,1273
831,899,2171,1273
832,899,2171,1273
833,899,2171,1273
834,899,2171,1273
835,898,2172,1275
836,898,2172,1275
837,898,2172,1275
838,898,2172,1275
839,897,2173,1277
840,897,2173,1277
