x,top_y,bottom_y,height
883,324,1628,1305
884,324,1628,1305
885,324,1628,1305
886,324,1628,1305
887,324,1628,1305
888,324,1628,1305
889,324,1628,1305
890,324,1628,1305
891,324,1628,1305
892,324,1628,1305
893,324,1628,1305
894,324,1628,1305
895,324,1628,1305
896,324,1628,1305
897,324,1628,1305
898,324,1628,1305
899,324,1628,1305
900,324,1628,1305
901,324,1628,1305
902,324,1628,1305
903,324,1628,1305
904,324,1628,1305
905,324,1628,1305
906,324,1628,1305
907,324,1628,1305
908,324,1628,1305
909,324,1628,1305
910,324,1628,1305
911,324,1628,1305
912,324,1628,1305
913,324,1628,1305
914,324,1628,1305
915,324,1628,1305
916,324,1628,1305
917,324,1628,1305
918,324,1628,1305
919,324,1628,1305
920,324,1628,1305
921,324,1628,1305
922,324,1628,1305
923,324,1628,1305
924,324,1628,1305
925,324,1628,1305
926,324,1628,1305
927,324,1628,1305
928,324,1628,1305
929,324,1628,1305
930,324,1628,1305
931,324,1628,1305
932,324,1628,1305
933,324,1628,1305
934,324,1628,1305
935,324,1628,1305
936,324,1628,1305
937,324,1628,1305
938,324,1628,1305
939,324,1628,1305
940,324,1628,1305
941,324,1628,1305
942,324,1628,1305
943,324,1628,1305
944,324,1628,1305
945,324,1628,1305
946,324,1628,1305
947,324,1628,1305
948,324,1628,1305
949,324,1628,1305
950,324,1628,1305
951,324,1628,1305
952,324,1628,1305
953,324,1628,1305
954,324,1628,1305
955,324,1628,1305
956,324,1628,1305
957,324,1628,1305
958,324,1628,1305
959,324,1628,1305
960,324,1628,1305
961,324,1628,1305
962,324,1628,1305
963,324,1628,1305
964,324,1628,1305
965,324,1628,1305
966,324,1628,1305
967,324,1628,1305
968,324,1628,1305
969,324,1628,1305
970,324,1628,1305
971,324,1628,1305
972,324,1628,1305
973,324,1628,1305
974,324,1628,1305
975,324,1628,1305
976,324,1628,1305
977,324,1628,1305
978,324,1628,1305
979,324,1628,1305
980,324,1628,1305
981,324,1628,1305
982,324,1628,1305
983,324,1628,1305
984,324,1628,1305
985,324,1628,1305
986,324,1628,1305
987,324,1628,1305
988,324,1628,1305
989,324,1628,1305
990,324,1628,1305
991,324,1628,1305
992,324,1628,1305
993,324,1628,1305
994,324,1628,1305
995,324,1628,1305
996,324,1628,1305
997,324,1628,1305
998,324,1628,1305
999,324,1628,1305
1000,324,1628,1305
1001,324,1628,1305
1002,324,1628,1305
1003,324,1628,1305
1004,324,1628,1305
1005,324,1628,1305
1006,324,1628,1305
1007,324,1628,1305
1008,324,1628,1305
1009,324,1628,1305
1010,324,1628,1305
1011,324,1628,1305
1012,324,1628,1305
1013,324,1628,1305
1014,324,1628,1305
1015,324,1628,1305
1016,324,1628,1305
1017,324,1628,1305
1018,324,1628,1305
1019,324,1628,1305
1020,324,1628,1305
1021,324,1628,1305
1022,324,1628,1305
1023,324,1628,1305
1024,324,1628,1305
1025,324,1628,1305
1026,324,1628,1305
1027,324,1628,1305
1028,324,1628,1305
1029,324,1628,1305
1030,324,1628,1305
1031,324,1628,1305
1032,324,1628,1305
1033,324,1628,1305
1034,324,1628,1305
1035,324,1628,1305
1036,324,1628,1305
1037,324,1628,1305
1038,324,1628,1305
1039,324,1628,1305
1040,324,1628,1305
1041,324,1628,1305
1042,324,1628,1305
1043,324,1628,1305
1044,324,1628,1305
1045,324,1628,1305
1046,324,1628,1305
1047,324,1628,1305
1048,324,1628,1305
1049,324,1628,1305
1050,324,1628,1305
1051,324,1628,1305
1052,324,1628,1305
1053,324,1628,1305
1054,324,1628,1305
1055,324,1628,1305
1056,324,1628,1305
1057,324,1628,1305
1058,324,1628,1305
1059,324,1628,1305
1060,324,1628,1305
1061,324,1628,1305
1062,324,1628,1305
1063,324,1628,1305
1064,324,1628,1305
1065,324,1628,1305
1066,324,1628,1305
1067,324,1628,1305
1068,324,1628,1305
1069,324,1628,1305
1070,324,1628,1305
1071,324,1628,1305
1072,324,1628,1305
1073,324,1628,1305
1074,324,1628,1305
1075,324,1628,1305
1076,324,1628,1305
1077,324,1628,1305
1078,324,1628,1305
1079,324,1628,1305
1080,324,1628,1305
1081,324,1628,1305
1082,324,1628,1305
1083,324,1628,1305
1084,324,1628,1305
1085,324,1628,1305
1086,324,1628,1305
1087,324,1628,1305
1088,324,1628,1305
1089,324,1628,1305
1090,324,1628,1305
1091,324,1628,1305
1092,324,1628,1305
1093,324,1628,1305
1094,324,1628,1305
1095,324,1628,1305
1096,324,1628,1305
1097,324,1628,1305
1098,324,1628,1305
1099,324,1628,1305
1100,324,1628,1305
1101,324,1628,1305
1102,324,1628,1305
1103,324,1628,1305
1104,324,1628,1305
1105,324,1628,1305
1106,324,1628,1305
1107,324,1628,1305
1108,324,1628,1305
1109,324,1628,1305
1110,324,1628,1305
1111,324,1628,1305
1112,324,1628,1305
1113,324,1628,1305
1114,324,1628,1305
1115,324,1628,1305
1116,324,1628,1305
1117,324,1628,1305
1118,324,1628,1305
1119,324,1628,1305
1120,324,1628,1305
1121,324,1628,1305
1122,324,1628,1305
1123,324,1628,1305
1124,324,1628,1305
1125,324,1628,1305
1126,324,1628,1305
1127,324,1628,1305
1128,324,1628,1305
1129,324,1628,1305
1130,324,1628,1305
1131,324,1628,1305
1132,324,1628,1305
1133,324,1628,1305
1134,324,1628,1305
1135,324,1628,1305
1136,324,1628,1305
1137,324,1628,1305
1138,324,1628,1305
1139,324,1628,1305
1140,324,1628,1305
1141,324,1628,1305
1142,324,1628,1305
1143,324,1628,1305
1144,324,1628,1305
1145,324,1628,1305
1146,324,1628,1305
1147,324,1628,1305
1148,324,1628,1305
1149,324,1628,1305
1150,324,1628,1305
1151,324,1628,1305
1152,324,1628,1305
1153,324,1628,1305
1154,324,1628,1305
1155,324,1628,1305
1156,324,1628,1305
1157,324,1628,1305
1158,324,1628,1305
1159,324,1628,1305
1160,324,1628,1305
1161,324,1628,1305
1162,324,1628,1305
1163,324,1628,1305
1164,324,1628,1305
1165,324,1628,1305
1166,324,1628,1305
1167,324,1628,1305
1168,324,1628,1305
1169,324,1628,1305
1170,324,1628,1305
1171,324,1628,1305
1172,324,1628,1305
1173,324,1628,1305
1174,324,1628,1305
1175,324,1628,1305
1176,324,1628,1305
1177,324,1628,1305
1178,324,1628,1305
1179,324,1628,1305
1180,324,1628,1305
1181,324,1628,1305
1182,324,1628,1305
1183,324,1628,1305
1184,324,1628,1305
1185,324,1628,1305
1186,324,1628,1305
1187,324,1628,1305
1188,324,1628,1305
1189,324,1628,1305
1190,324,1628,1305
1191,324,1628,1305
1192,324,1628,1305
1193,324,1628,1305
1194,324,1628,1305
1195,324,1628,1305
1196,324,1628,1305
1197,324,1628,1305
1198,324,1628,1305
1199,324,1628,1305
1200,324,1628,1305
1201,324,1628,1305
1202,324,1628,1305
1203,324,1628,1305
1204,324,1628,1305
1205,324,1628,1305
1206,324,1628,1305
1207,324,1628,1305
1208,324,1628,1305
1209,324,1628,1305
1210,324,1628,1305
1211,324,1628,1305
1212,324,1628,1305
1213,324,1628,1305
1214,324,1628,1305
1215,324,1628,1305
1216,324,1628,1305
1217,324,1628,1305
1218,324,1628,1305
1219,324,1628,1305
1220,324,1628,1305
1221,324,1628,1305
1222,324,1628,1305
1223,324,1628,1305
1224,324,1628,1305
1225,324,1628,1305
1226,324,1628,1305
1227,324,1628,1305
1228,324,1628,1305
1229,324,1628,1305
1230,324,1628,1305
1231,324,1628,1305
1232,324,1628,1305
1233,324,1628,1305
1234,324,1628,1305
1235,324,1628,1305
1236,324,1628,1305
1237,324,1628,1305
1238,324,1628,1305
1239,324,1628,1305
1240,324,1628,1305
1241,324,1628,1305
1242,324,1628,1305
1243,324,1628,1305
1244,324,1628,1305
1245,324,1628,1305
1246,324,1628,1305
1247,324,1628,1305
1248,324,1628,1305
1249,324,1628,1305
1250,324,1628,1305
1251,324,1628,1305
1252,324,1628,1305
1253,324,1628,1305
1254,324,1628,1305
1255,324,1628,1305
1256,324,1628,1305
1257,324,1628,1305
1258,324,1628,1305
1259,324,1628,1305
1260,324,1628,1305
1261,324,1628,1305
1262,324,1628,1305
1263,324,1628,1305
1264,324,1628,1305
1265,324,1628,1305
1266,324,1628,1305
1267,324,1628,1305
1268,324,1628,1305
1269,324,1628,1305
1270,324,1628,1305
1271,324,1628,1305
1272,324,1628,1305
1273,324,1628,1305
