y,left_x,right_x,width
324,883,2187,1305
325,883,2187,1305
326,883,2187,1305
327,883,2187,1305
328,883,2187,1305
329,883,2187,1305
330,883,2187,1305
331,883,2187,1305
332,883,2187,1305
333,883,2187,1305
334,883,2187,1305
335,883,2187,1305
336,883,2187,1305
337,883,2187,1305
338,883,2187,1305
339,883,2187,1305
340,883,2187,1305
341,883,2187,1305
342,883,2187,1305
343,883,2187,1305
344,883,2187,1305
345,883,2187,1305
346,883,2187,1305
347,883,2187,1305
348,883,2187,1305
349,883,2187,1305
350,883,2187,1305
351,883,2187,1305
352,883,2187,1305
353,883,2187,1305
354,883,2187,1305
355,883,2187,1305
356,883,2187,1305
357,883,2187,1305
358,883,2187,1305
359,883,2187,1305
360,883,2187,1305
361,883,2187,1305
362,883,2187,1305
363,883,2187,1305
364,883,2187,1305
365,883,2187,1305
366,883,2187,1305
367,883,2187,1305
368,883,2187,1305
369,883,2187,1305
370,883,2187,1305
371,883,2187,1305
372,883,2187,1305
373,883,2187,1305
374,883,2187,1305
375,883,2187,1305
376,883,2187,1305
377,883,2187,1305
378,883,2187,1305
379,883,2187,1305
380,883,2187,1305
381,883,2187,1305
382,883,2187,1305
383,883,2187,1305
384,883,2187,1305
385,883,2187,1305
386,883,2187,1305
387,883,2187,1305
388,883,2187,1305
389,883,2187,1305
390,883,2187,1305
391,883,2187,1305
392,883,2187,1305
393,883,2187,1305
394,883,2187,1305
395,883,2187,1305
396,883,2187,1305
397,883,2187,1305
398,883,2187,1305
399,883,2187,1305
400,883,2187,1305
401,883,2187,1305
402,883,2187,1305
403,883,2187,1305
404,883,2187,1305
405,883,2187,1305
406,883,2187,1305
407,883,2187,1305
408,883,2187,1305
409,883,2187,1305
410,883,2187,1305
411,883,2187,1305
412,883,2187,1305
413,883,2187,1305
414,883,2187,1305
415,883,2187,1305
416,883,2187,1305
417,883,2187,1305
418,883,2187,1305
419,883,2187,1305
420,883,2187,1305
421,883,2187,1305
422,883,2187,1305
423,883,2187,1305
424,883,2187,1305
425,883,2187,1305
426,883,2187,1305
427,883,2187,1305
428,883,2187,1305
429,883,2187,1305
430,883,2187,1305
431,883,2187,1305
432,883,2187,1305
433,883,2187,1305
434,883,2187,1305
435,883,2187,1305
436,883,2187,1305
437,883,2187,1305
438,883,2187,1305
439,883,2187,1305
440,883,2187,1305
441,883,2187,1305
442,883,2187,1305
443,883,2187,1305
444,883,2187,1305
445,883,2187,1305
446,883,2187,1305
447,883,2187,1305
448,883,2187,1305
449,883,2187,1305
450,883,2187,1305
451,883,2187,1305
452,883,2187,1305
453,883,2187,1305
454,883,2187,1305
455,883,2187,1305
456,883,2187,1305
457,883,2187,1305
458,883,2187,1305
459,883,2187,1305
460,883,2187,1305
461,883,2187,1305
462,883,2187,1305
463,883,2187,1305
464,883,2187,1305
465,883,2187,1305
466,883,2187,1305
467,883,2187,1305
468,883,2187,1305
469,883,2187,1305
470,883,2187,1305
471,883,2187,1305
472,883,2187,1305
473,883,2187,1305
474,883,2187,1305
475,883,2187,1305
476,883,2187,1305
477,883,2187,1305
478,883,2187,1305
479,883,2187,1305
480,883,2187,1305
481,883,2187,1305
482,883,2187,1305
483,883,2187,1305
484,883,2187,1305
485,883,2187,1305
486,883,2187,1305
487,883,2187,1305
488,883,2187,1305
489,883,2187,1305
490,883,2187,1305
491,883,2187,1305
492,883,2187,1305
493,883,2187,1305
494,883,2187,1305
495,883,2187,1305
496,883,2187,1305
497,883,2187,1305
498,883,2187,1305
499,883,2187,1305
500,883,2187,1305
501,883,2187,1305
502,883,2187,1305
503,883,2187,1305
504,883,2187,1305
505,883,2187,1305
506,883,2187,1305
507,883,2187,1305
508,883,2187,1305
509,883,2187,1305
510,883,2187,1305
511,883,2187,1305
512,883,2187,1305
513,883,2187,1305
514,883,2187,1305
515,883,2187,1305
516,883,2187,1305
517,883,2187,1305
518,883,2187,1305
519,883,2187,1305
520,883,2187,1305
521,883,2187,1305
522,883,2187,1305
523,883,2187,1305
524,883,2187,1305
525,883,2187,1305
526,883,2187,1305
527,883,2187,1305
528,883,2187,1305
529,883,2187,1305
530,883,2187,1305
531,883,2187,1305
532,883,2187,1305
533,883,2187,1305
534,883,2187,1305
535,883,2187,1305
536,883,2187,1305
537,883,2187,1305
538,883,2187,1305
539,883,2187,1305
540,883,2187,1305
541,883,2187,1305
542,883,2187,1305
543,883,2187,1305
544,883,2187,1305
545,883,2187,1305
546,883,2187,1305
547,883,2187,1305
548,883,2187,1305
549,883,2187,1305
550,883,2187,1305
551,883,2187,1305
552,883,2187,1305
553,883,2187,1305
554,883,2187,1305
555,883,2187,1305
556,883,2187,1305
557,883,2187,1305
558,883,2187,1305
559,883,2187,1305
560,883,2187,1305
561,883,2187,1305
562,883,2187,1305
563,883,2187,1305
564,883,2187,1305
565,883,2187,1305
566,883,2187,1305
567,883,2187,1305
568,883,2187,1305
569,883,2187,1305
570,883,2187,1305
571,883,2187,1305
572,883,2187,1305
573,883,2187,1305
574,883,2187,1305
575,883,2187,1305
576,883,2187,1305
577,883,2187,1305
578,883,2187,1305
579,883,2187,1305
